name,provider
Bomb Rush Cyberfunk,Steam
Old World,Steam
Atlas Fallen: Reign of Sand,Steam
Crime Boss: Rockay City - First Month Edition,Steam
Venba,Steam
Monster Prom 3: Monster Roadtrip,Steam
Against the Storm,Steam
Jagged Alliance 3,Steam
Blasphemous 2,Steam
Beneath Oresa,Steam
Dordogne,Steam
Total War: WARHAMMER III,Steam
Another Crab's Treasure,Steam
No More Heroes 3,Steam
Etrian Odyssey HD,Steam
Pharaoh: A New Era,Steam
Synergy,Steam
Spin Hero,Steam
Paleo Pines,Steam
Jusant,Steam
Remnant Records,Steam
Station to Station,Steam
Deceive Inc.,Steam
PEAK,Steam
PEAK,Steam
Risk of Rain 2,Steam
Cyberpunk 2077,GOG
Moonlighter,Steam
Injustice™ 2,Steam
Graveyard Keeper,Steam
Pacific Drive,Steam
Hogwarts Legacy Deluxe Edition,Steam
Europa Universalis:Rome - Gold Edition,Steam
Dishonored 2,Steam
Warhammer: Chaosbane,Steam
Dead Space (2023 Remake),Steam
Witcher 3 GOTY,GOG
Resident Evil Village,Steam
Eldest Soul,Steam
"Warhammer 40,000: Mechanicus",Steam
Shadow Tactics: Blades of the Shogun,Steam
SAMUDRA,Steam
ENCODYA,Steam
Dice & Fold,Steam
Fall of Porcupine,Steam
Tropico 4: Collectors Bundle,Steam
Tropico 3: Gold Bundle,Steam
Space Engineers,Steam
UNCHARTED: Legacy of Thieves Collection,Steam
Mortal Kombat 11,Steam
Detroit: Become Human,Steam
Superhot,Steam
Yakuza: Like a Dragon,Steam
Mortal Kombat 1,Steam
Dave the Diver,Steam
Monster Hunter: World,Steam
Frostpunk,Steam
Death Stranding Director’s Cut,Steam
Devil May Cry 5 + Vergil,Steam
Industria,Steam
Tinkertown,Steam
Dr. Fetus - Mean Meat Machine,Steam
Bridge Constructor Portal,Steam
Inner World: The Last Wind Monk,Steam
Soulslinger (Envoy of Death),Steam
Pumpkin Jack,Steam
Hell Pie,Steam
Ben and Ed Blood Party,Steam
The Textorcist: The Story of Ray Bibbia,Steam
Ring of Pain,Steam
Roguebook,Steam
Heretic's Fork,Steam
Deepest Chamber: Resurrection,Steam
Breach Wanderers,Steam
Vault of the Void,Steam
Red Dead Redemption 2 Standard,EPIC
"Warhammer 40,000: Gladius - Relics of War",Steam
Fort Solis,Steam
Moonstone Island,GOG
Core Keeper,Steam
Dungeons of Hinterberg,Steam
Gatekeeper,Steam
Ixion,Steam
Mouthwashing,Steam
Old World,Steam
Rogue Waters,Steam
Rusty's Retirement,Steam
Spiritfall,Steam
Tactical Breach Wizards,Steam
The Royal Writ,Steam
Tower Unite,Steam
Train Sim World 6: Special Jingle Jam Edition,Steam
"Warhammer 40,000: Chaos Gate - Daemonhunters",Steam
Wild Bastards,Steam
